"local_path","oss_object_key","content_type","original_size","optimized_size","saved_bytes","saved_percent","cache_control"
"tasks/intro/进入游戏.mp4","/tasks/intro/进入游戏.mp4","video/mp4","5031322","5031322","0","0.00%","public, max-age=604800"
"tasks/T01/assets/T01_A02_self_feeling_transition.mp4","/tasks/T01/assets/T01_A02_self_feeling_transition.mp4","video/mp4","4429017","4429017","0","0.00%","public, max-age=604800"
"tasks/T01/assets/T01_A03_feeling_question.mp4","/tasks/T01/assets/T01_A03_feeling_question.mp4","video/mp4","3811636","3811636","0","0.00%","public, max-age=604800"
"tasks/T01/assets/T01_A03_feeling_question_end.png","/tasks/T01/assets/T01_A03_feeling_question_end.png","image/png","3671744","3671744","0","0.00%","public, max-age=604800"
"tasks/T01/assets/T01_A06_reason_question_end.png","/tasks/T01/assets/T01_A06_reason_question_end.png","image/png","3627285","3627285","0","0.00%","public, max-age=604800"
"tasks/T01/assets/T01_B02_emotion_question.mp4","/tasks/T01/assets/T01_B02_emotion_question.mp4","video/mp4","4138764","4138764","0","0.00%","public, max-age=604800"
"tasks/T01/assets/T01_B02_emotion_question_end.png","/tasks/T01/assets/T01_B02_emotion_question_end.png","image/png","3412511","3412511","0","0.00%","public, max-age=604800"
"tasks/T01/assets/T01_B03_cause_question.mp4","/tasks/T01/assets/T01_B03_cause_question.mp4","video/mp4","1688159","1688159","0","0.00%","public, max-age=604800"
"tasks/T01/assets/T01_B03_cause_question_end.png","/tasks/T01/assets/T01_B03_cause_question_end.png","image/png","3356802","3356802","0","0.00%","public, max-age=604800"
"tasks/T01/assets/T01_common_acknowledge.mp3","/tasks/T01/assets/T01_common_acknowledge.mp3","audio/mpeg","36607","36607","0","0.00%","public, max-age=604800"
"tasks/T01/assets/T01_B04_probe_close.mp4","/tasks/T01/assets/T01_B04_probe_close.mp4","video/mp4","3619610","3619610","0","0.00%","public, max-age=604800"
"tasks/T01/assets/T01_A02_self_feeling_transition_start.png","/tasks/T01/assets/T01_A02_self_feeling_transition_start.png","image/png","3350414","3350414","0","0.00%","public, max-age=604800"
"tasks/T01/assets/起始帧.png","/tasks/T01/assets/起始帧.png","image/png","1724263","1724263","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_B02_followup_need_what.mp3","/tasks/T02/assets/T02_B02_followup_need_what.mp3","audio/mpeg","16723","16723","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A04_option.mp3","/tasks/T02/assets/T02_A04_option.mp3","audio/mpeg","85267","85267","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_V00_task_intro.mp4","/tasks/T02/assets/T02_V00_task_intro.mp4","video/mp4","4911279","4911279","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_V00_task_intro_end.png","/tasks/T02/assets/T02_V00_task_intro_end.png","image/png","2982969","2982969","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A01_background_clean.png","/tasks/T02/assets/T02_A01_background_clean.png","image/png","1469531","1469531","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A01_instruction.mp3","/tasks/T02/assets/T02_A01_instruction.mp3","audio/mpeg","50131","50131","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A01_fish_piece.png","/tasks/T02/assets/T02_A01_fish_piece.png","image/png","2154657","2154657","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A03_P1_instruction.mp3","/tasks/T02/assets/T02_A03_P1_instruction.mp3","audio/mpeg","45523","45523","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A04_question.mp3","/tasks/T02/assets/T02_A04_question.mp3","audio/mpeg","28243","28243","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A04_card_rotate.PNG","/tasks/T02/assets/T02_A04_card_rotate.PNG","image/png","261148","261148","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A04_card_check_example.PNG","/tasks/T02/assets/T02_A04_card_check_example.PNG","image/png","272552","272552","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A04_card_ask_dog.PNG","/tasks/T02/assets/T02_A04_card_ask_dog.PNG","image/png","403638","403638","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A04_card_leave.PNG","/tasks/T02/assets/T02_A04_card_leave.PNG","image/png","417165","417165","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_B01_windmill_interaction_base.png","/tasks/T02/assets/T02_B01_windmill_interaction_base.png","image/png","1741361","1741361","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A05_fish_complete.mp4","/tasks/T02/assets/T02_A05_fish_complete.mp4","video/mp4","6429382","6429382","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A05_fish_complete_end.png","/tasks/T02/assets/T02_A05_fish_complete_end.png","image/png","3733505","3733505","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_B01_windmill_goal.mp3","/tasks/T02/assets/T02_B01_windmill_goal.mp3","audio/mpeg","68386","68386","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_B02_question.mp3","/tasks/T02/assets/T02_B02_question.mp3","audio/mpeg","33715","33715","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_B04_problem_wrong_direction.PNG","/tasks/T02/assets/T02_B04_problem_wrong_direction.PNG","image/png","692806","692806","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_B04_problem_missing_material.PNG","/tasks/T02/assets/T02_B04_problem_missing_material.PNG","image/png","673666","673666","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_B04_problem_completed.PNG","/tasks/T02/assets/T02_B04_problem_completed.PNG","image/png","1041529","1041529","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_B04_problem_unknown.PNG","/tasks/T02/assets/T02_B04_problem_unknown.PNG","image/png","763832","763832","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_B04_problem_options.mp3","/tasks/T02/assets/T02_B04_problem_options.mp3","audio/mpeg","239540","239540","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_B03_P1_instruction.mp3","/tasks/T02/assets/T02_B03_P1_instruction.mp3","audio/mpeg","59059","59059","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_B05_leaf_drag_base.png","/tasks/T02/assets/T02_B05_leaf_drag_base.png","image/png","2073925","2073925","0","0.00%","public, max-age=604800"
